id,gender,status,employed,income,extraIncome,expenses,buy,zero
LP001003,Male,Yes,No,0.4728959336055192,0.41490212900426027,3.74209669026632,N,0.0
LP001004,Male,Yes,Yes,0.5967253953449803,0.493419184839861,0.668798841523747,Y,0.0
LP001005,Male,Yes,No,0.6293450324551225,0.3706451678237161,0.4408673977757436,Y,0.0
LP001006,Male,No,No,0.5415072891063325,0.493419184839861,0.3522273918737422,Y,0.0
LP001007,Male,Yes,Yes,0.4076566593852346,0.2749459976474335,0.1796126435382659,Y,0.0
LP001008,Male,Yes,No,0.648901169811323,0.03760916825770505,0.5463912143257451,Y,0.0
LP001009,Male,Yes,No,0.5939093115656874,0.3630433839032932,0.8887326907542767,Y,0.0
LP001010,Male,Yes,No,0.5180314986236297,0.4139649227674958,0.23826166999974047,Y,0.0
LP001011,Male,Yes,No,0.5415072891063325,0.07765181542861971,0.5257307618222712,N,0.0
LP001012,Male,Yes,No,0.5810804854600199,0.45697227563235404,0.6519150308757468,Y,0.0
LP001013,Male,Yes,No,0.6358376700573811,0.39761588063727127,0.48729787705774424,Y,0.0
LP001014,Male,Yes,No,0.5910150032369698,0.03064757193082959,0.10319118481573841,Y,0.0
LP001015,Male,No,No,0.5415072891063325,0.03760916825770505,0.4661931137477439,N,0.0
LP001017,Male,Yes,No,0.4728959336055192,4.708335764268688,0.40709977647974305,N,0.0
LP001018,Male,Yes,Yes,0.5967253953449803,0.493419184839861,0.668798841523747,Y,0.0
LP001019,Male,Yes,No,0.6293450324551225,0.14576773801339804,0.4408673977757436,Y,0.0
LP001020,Male,No,No,0.5415072891063325,0.493419184839861,0.3522273918737422,Y,0.0
LP001021,Male,No,Yes,2.7155367009493965,0.2749459976474335,0.1796126435382659,Y,0.0
LP001022,Male,Yes,No,0.648901169811323,0.03760916825770505,0.5463912143257451,Y,0.0
LP001024,Male,Yes,No,0.5180314986236297,0.4139649227674958,0.23826166999974047,Y,0.0
LP001025,Male,Yes,Yes,3.5753027236773915,0.3129028502363943,0.5257307618222712,N,0.0
LP001026,Male,Yes,Yes,0.5810804854600199,0.45697227563235404,0.6519150308757468,Y,0.0
LP001027,Male,Yes,No,0.7872803977437971,0.1397800315007362,0.48729787705774424,Y,0.0
LP001028,Male,Yes,No,0.5910150032369698,0.07136397621693023,1.437456536814285,Y,0.0
LP001029,Male,No,No,0.5415072891063325,0.03760916825770505,0.4661931137477439,N,0.0
LP001019,Male,Yes,No,0.6293450324551225,0.14576773801339804,0.4788559717337441,N,0.0
LP001020,Male,Yes,No,1.8542061872329054,2.4506059399030917,0.3522273918737422,N,0.0
LP0010051,Male,Yes,No,0.4728959336055192,0.41490212900426027,3.74209669026632,N,0.0
LP0010053,Male,Yes,No,0.6293450324551225,0.3706451678237161,0.4408673977757436,Y,0.0
LP0010054,Male,No,No,0.5415072891063325,0.493419184839861,0.3522273918737422,Y,0.0
LP0010058,Male,Yes,Yes,0.5627759408946164,0.3146210616704625,0.23826166999974047,Y,0.0
LP0010059,Male,Yes,No,0.17308239554449292,0.3146210616704625,0.5257307618222712,N,0.0
LP0010061,Male,Yes,No,0.387396501084211,0.4139649227674958,0.23826166999974047,Y,0.0
LP0010063,Male,Yes,No,0.8279000987795077,0.45697227563235404,0.6519150308757468,Y,0.0
LP0010064,Male,Yes,No,0.7872803977437971,0.1397800315007362,0.48729787705774424,Y,0.0
LP0010066,Male,No,No,0.5415072891063325,0.03760916825770505,0.4661931137477439,N,0.0
LP0010068,Male,Yes,No,0.6568018493032279,2.4506059399030917,0.3522273918737422,N,0.0
LP0010069,Male,Yes,No,1.6899346334408218,0.07765181542861971,0.5257307618222712,N,0.0
